,X,Y,time,video
0,17.121309,48.127902,16:48:49,0.0
10,17.120352,48.127918,16:49:03,14.0
20,17.119627,48.127942,16:49:13,24.0
30,17.118855,48.127994,16:49:24,35.0
40,17.118176,48.128012,16:49:34,45.0
50,17.117495,48.128063,16:49:44,55.0
60,17.11688,48.12816,16:49:54,65.0
70,17.116877,48.128467,16:50:04,75.0
80,17.11684,48.128894,16:50:14,85.0
90,17.116768,48.129294,16:50:24,95.0
100,17.116756,48.12961,16:50:34,105.0
110,17.116781,48.129927,16:50:44,115.0
120,17.116803,48.130247,16:50:54,125.0
130,17.116799,48.130569,16:51:04,135.0
140,17.116848,48.130916,16:51:14,145.0
150,17.116923,48.131332,16:51:24,155.0
160,17.116937,48.131732,16:51:34,165.0
170,17.116956,48.132159,16:51:44,175.0
180,17.116993,48.1326,16:51:54,185.0
190,17.116995,48.133066,16:52:04,195.0
200,17.117048,48.133553,16:52:14,205.0
210,17.117059,48.13405,16:52:24,215.0
220,17.117036,48.134575,16:52:34,225.0
230,17.117042,48.135074,16:52:44,235.0
240,17.11713,48.135545,16:52:54,245.0
250,17.117167,48.135986,16:53:04,255.0
260,17.117182,48.136361,16:53:14,265.0
270,17.11723,48.136703,16:53:24,275.0
280,17.11725,48.137085,16:53:34,285.0
290,17.117274,48.137463,16:53:44,295.0
300,17.117286,48.13784,16:53:54,305.0
310,17.117328,48.138215,16:54:04,315.0
320,17.117395,48.138615,16:54:14,325.0
330,17.117422,48.139092,16:54:24,335.0
340,17.117447,48.139633,16:54:34,345.0
350,17.117418,48.140225,16:54:44,355.0
360,17.117196,48.140718,16:54:54,365.0
370,17.116695,48.140982,16:55:04,375.0
380,17.116274,48.140735,16:55:14,385.0
390,17.116219,48.14033,16:55:24,395.0
400,17.116009,48.140057,16:55:34,405.0
410,17.115537,48.140096,16:55:44,415.0
420,17.114952,48.140107,16:55:54,425.0
430,17.114261,48.140094,16:56:04,435.0
440,17.113672,48.140175,16:56:14,445.0
450,17.113205,48.140305,16:56:24,455.0
460,17.112566,48.140344,16:56:34,465.0
470,17.112217,48.139945,16:56:44,475.0
480,17.111723,48.139852,16:56:54,485.0
490,17.111071,48.13982,16:57:04,495.0
500,17.110404,48.139808,16:57:14,505.0
510,17.109737,48.139756,16:57:24,515.0
520,17.109161,48.139748,16:57:34,525.0
530,17.108695,48.139737,16:57:44,535.0
540,17.108119,48.139723,16:57:54,545.0
550,17.107454,48.139667,16:58:04,555.0
560,17.106777,48.139618,16:58:14,565.0
570,17.106143,48.139587,16:58:24,575.0
580,17.105538,48.139575,16:58:34,585.0
590,17.104909,48.139597,16:58:44,595.0
600,17.104289,48.13962,16:58:54,605.0
610,17.103747,48.139655,16:59:04,615.0
620,17.103226,48.139624,16:59:14,625.0
630,17.102673,48.139705,16:59:24,635.0
640,17.102106,48.139739,16:59:34,645.0
650,17.101435,48.139745,16:59:44,655.0
660,17.100686,48.139777,16:59:54,665.0
670,17.099967,48.139784,17:00:04,675.0
