# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	29.09.2025 22:43:23 wavelength [nm] [Tab] light intensity Exposure time = 8 ms
wavelength	intensity
309.9	172
312.5	115
315.2	345
317.9	115
320.6	249
323.3	268
325.9	95
328.6	345
331.3	249
333.9	172
336.6	326
339.2	211
341.9	287
344.6	307
347.2	172
349.9	268
352.5	230
355.2	191
357.8	307
360.4	134
363.1	326
365.7	191
368.3	134
371.0	287
373.6	172
376.2	191
378.8	326
381.4	153
384.0	326
386.7	268
389.3	191
391.9	287
394.5	230
397.0	230
399.6	307
402.2	191
404.8	307
407.4	307
410.0	191
412.5	268
415.1	307
417.7	211
420.2	364
422.8	211
425.3	307
427.9	249
430.4	249
433.0	422
435.5	307
438.0	230
440.6	403
443.1	211
445.6	307
448.1	345
450.6	38
453.1	422
455.7	287
458.1	268
460.6	403
463.1	191
465.6	422
468.1	403
470.6	326
473.0	383
475.5	326
478.0	211
480.4	441
482.9	364
485.3	307
487.8	383
490.2	287
492.6	479
495.1	422
497.5	422
499.9	594
502.3	326
504.7	345
507.1	422
509.5	230
511.9	422
514.3	403
516.7	211
519.1	460
521.4	326
523.8	326
526.2	345
528.5	172
530.9	364
533.2	594
535.6	307
537.9	403
540.2	268
542.5	422
544.9	326
547.2	307
549.5	537
551.8	441
554.1	441
556.4	594
558.7	498
560.9	710
563.2	940
565.5	863
567.7	1093
570.0	1074
572.2	748
574.5	825
576.7	748
579.0	882
581.2	1151
583.4	1170
585.6	1247
587.8	1285
590.0	1209
592.2	1458
594.4	1477
596.6	1573
598.8	1343
601.0	1017
603.1	1170
605.3	940
607.4	863
609.6	1036
611.7	710
613.9	786
616.0	921
618.1	671
620.3	671
622.4	518
624.5	556
626.6	633
628.7	498
630.8	537
632.8	537
634.9	364
637.0	633
639.1	364
641.1	345
643.2	575
645.2	383
647.2	441
649.3	556
651.3	326
653.3	479
655.3	441
657.3	403
659.3	556
661.3	383
663.3	422
665.3	498
667.3	345
669.3	498
671.2	383
673.2	287
675.1	518
677.1	249
679.0	498
680.9	441
682.9	326
684.8	498
686.7	364
688.6	287
690.5	422
692.4	326
694.3	383
696.2	479
698.0	249
699.9	326
701.8	364
703.6	287
705.5	441
707.3	230
709.1	364
711.0	403
712.8	326
714.6	441
716.4	403
718.2	249
720.0	479
721.8	345
723.6	422
725.4	345
727.1	172
728.9	403
730.7	364
732.4	326
734.2	422
735.9	249
737.6	403
739.4	307
741.1	230
742.8	403
744.5	287
746.2	191
747.9	479
749.6	287
751.3	345
753.0	383
754.6	191
756.3	383
758.0	364
759.6	211
761.3	403
762.9	287
764.5	287
766.2	441
767.8	268
769.4	403
771.0	345
772.6	211
774.2	422
775.8	287
777.4	383
779.0	307
780.5	307
782.1	422
783.7	230
785.2	249
786.8	441
788.3	211
789.8	345
791.4	403
792.9	172
794.4	441
795.9	326
797.4	268
798.9	441
800.4	364
801.9	345
803.4	345
804.9	230
806.4	441
807.8	403
809.3	403
810.7	556
812.2	422
813.6	614
815.1	671
816.5	690
817.9	825
819.4	633
820.8	498
822.2	710
823.6	460
825.0	498
826.4	479
827.8	249
829.1	479
830.5	326
831.9	249
833.3	422
834.6	268
836.0	383
837.3	422
838.7	230
840.0	403
841.4	287
842.7	287
844.0	345
845.3	191
846.7	307
848.0	383
849.3	230
850.6	326
851.9	172
853.2	191
854.5	441
855.7	211
857.0	287
858.3	403
859.6	57
860.8	364
862.1	249
863.3	153
864.6	479
865.8	191
867.1	364
868.3	345
869.5	134
870.8	403
872.0	249
873.2	191
874.4	383
875.6	134
876.8	287
878.0	326
879.2	191
880.4	383
