# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	29.09.2025 22:39:22 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	326
312.5	249
315.2	518
317.9	249
320.6	441
323.3	364
325.9	249
328.6	479
331.3	422
333.9	326
336.6	422
339.2	326
341.9	383
344.6	441
347.2	287
349.9	441
352.5	287
355.2	268
357.8	479
360.4	249
363.1	441
365.7	364
368.3	287
371.0	441
373.6	326
376.2	383
378.8	575
381.4	460
384.0	633
386.7	633
389.3	614
391.9	825
394.5	901
397.0	921
399.6	1247
402.2	1170
404.8	1420
407.4	1439
410.0	1362
412.5	1592
415.1	1592
417.7	1592
420.2	1899
422.8	1823
425.3	1976
427.9	2168
430.4	2513
433.0	2878
435.5	2897
438.0	2936
440.6	2974
443.1	3339
445.6	3818
448.1	4125
450.6	3895
453.1	3953
455.7	3415
458.1	3857
460.6	5776
463.1	6582
465.6	7042
468.1	6851
470.6	5085
473.0	3415
475.5	2245
478.0	1592
480.4	1324
482.9	1324
485.3	1573
487.8	2245
490.2	5699
492.6	10075
495.1	10075
497.5	9710
499.9	9000
502.3	4087
504.7	1899
507.1	2015
509.5	2590
511.9	2475
514.3	2590
516.7	2130
519.1	1707
521.4	1170
523.8	1113
526.2	1209
528.5	1055
530.9	1266
533.2	1247
535.6	1381
537.9	1669
540.2	2015
542.5	2513
544.9	3319
547.2	4087
549.5	5200
551.8	6236
554.1	7848
556.4	9614
558.7	13068
560.9	27001
563.2	38323
565.5	38784
567.7	40396
570.0	41624
572.2	33046
574.5	28574
576.7	33756
579.0	42238
581.2	43620
583.4	40626
585.6	42315
587.8	45999
590.0	46652
592.2	51680
594.4	58205
596.6	61755
598.8	59433
601.0	54789
603.1	49991
605.3	45021
607.4	40396
609.6	38707
611.7	33948
613.9	29649
616.0	26502
618.1	23047
620.3	19056
622.4	16024
624.5	14911
626.6	13970
628.7	12857
630.8	11840
632.8	11072
634.9	10574
637.0	10305
639.1	9537
641.1	8942
643.2	8616
645.2	8002
647.2	7637
649.3	7465
651.3	6889
653.3	7004
655.3	6620
657.3	6313
659.3	6352
661.3	5853
663.3	5853
665.3	5853
667.3	5776
669.3	5929
671.2	5699
673.2	5258
675.1	5162
677.1	4490
679.0	4241
680.9	3818
682.9	3147
684.8	3089
686.7	2667
688.6	2360
690.5	2283
692.4	2053
694.3	2168
696.2	2187
698.0	1823
699.9	2053
701.8	1919
703.6	1746
705.5	1861
707.3	1669
709.1	1727
711.0	1669
712.8	1496
714.6	1669
716.4	1516
718.2	1400
720.0	1592
721.8	1420
723.6	1420
725.4	1400
727.1	1209
728.9	1400
730.7	1381
732.4	1247
734.2	1343
735.9	1170
737.6	1285
739.4	1228
741.1	1132
742.8	1285
744.5	1209
746.2	1017
747.9	1324
749.6	1170
751.3	1209
753.0	1209
754.6	940
756.3	1209
758.0	1113
759.6	1017
761.3	1381
762.9	1324
764.5	1458
766.2	1727
767.8	1496
769.4	1516
771.0	1400
772.6	1170
774.2	1266
775.8	940
777.4	1036
779.0	978
780.5	825
782.1	1017
783.7	940
785.2	921
786.8	1074
788.3	863
789.8	978
791.4	1017
792.9	863
794.4	1093
795.9	1017
797.4	1055
798.9	1247
800.4	1170
801.9	1170
803.4	1228
804.9	1189
806.4	1554
807.8	1516
809.3	1823
810.7	2513
812.2	4125
813.6	8693
815.1	13241
816.5	14181
817.9	14297
819.4	14258
820.8	14412
822.2	13989
823.6	11092
825.0	7196
826.4	3857
827.8	2245
829.1	1861
830.5	1439
831.9	1285
833.3	1285
834.6	1017
836.0	1017
837.3	1055
838.7	844
840.0	997
841.4	786
842.7	786
844.0	825
845.3	575
846.7	748
848.0	863
849.3	633
850.6	748
851.9	633
853.2	575
854.5	729
855.7	594
857.0	710
858.3	710
859.6	364
860.8	748
862.1	594
863.3	518
864.6	729
865.8	460
867.1	671
868.3	671
869.5	403
870.8	575
872.0	498
873.2	441
874.4	614
875.6	441
876.8	556
878.0	556
879.2	479
880.4	556
