# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	29.09.2025 22:39:08 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	191
312.5	153
315.2	345
317.9	95
320.6	345
323.3	287
325.9	211
328.6	403
331.3	287
333.9	172
336.6	345
339.2	172
341.9	326
344.6	383
347.2	172
349.9	326
352.5	249
355.2	211
357.8	441
360.4	211
363.1	345
365.7	268
368.3	191
371.0	441
373.6	326
376.2	249
378.8	537
381.4	383
384.0	556
386.7	518
389.3	441
391.9	594
394.5	614
397.0	652
399.6	863
402.2	882
404.8	1055
407.4	1055
410.0	978
412.5	1132
415.1	1209
417.7	1247
420.2	1554
422.8	1400
425.3	1573
427.9	1746
430.4	1899
433.0	2283
435.5	2322
438.0	2322
440.6	2494
443.1	2648
445.6	3281
448.1	3818
450.6	3838
453.1	3780
455.7	3358
458.1	3089
460.6	3972
463.1	5661
465.6	6774
468.1	6851
470.6	5488
473.0	3569
475.5	2283
478.0	1362
480.4	1093
482.9	1017
485.3	940
487.8	1247
490.2	1861
492.6	5123
495.1	8002
497.5	8539
499.9	8328
502.3	3876
504.7	1420
507.1	1324
509.5	1496
511.9	2168
514.3	2341
516.7	2110
519.1	1707
521.4	1093
523.8	1093
526.2	1170
528.5	1017
530.9	1209
533.2	1132
535.6	1132
537.9	1420
540.2	1400
542.5	1976
544.9	2590
547.2	3454
549.5	4951
551.8	6006
554.1	7810
556.4	9691
558.7	11859
560.9	14757
563.2	24103
565.5	36212
567.7	40357
570.0	43313
572.2	37095
574.5	28037
576.7	33142
579.0	43159
581.2	55288
583.4	59893
585.6	54232
587.8	49569
590.0	45942
592.2	49876
594.4	60968
596.6	65574
598.8	64979
601.0	61429
603.1	56823
605.3	51757
607.4	46191
609.6	41624
611.7	39129
613.9	36174
616.0	33142
618.1	30858
620.3	26195
622.4	22395
624.5	20668
626.6	19075
628.7	17770
630.8	16849
632.8	16177
634.9	15390
637.0	14987
639.1	13913
641.1	13241
643.2	12934
645.2	12301
647.2	11763
649.3	11092
651.3	10574
653.3	10151
655.3	9806
657.3	9537
659.3	9384
661.3	8731
663.3	8635
665.3	8597
667.3	8578
669.3	9038
671.2	9000
673.2	8616
675.1	8328
677.1	7273
679.0	6428
680.9	5795
682.9	4797
684.8	4471
686.7	4010
688.6	3550
690.5	3204
692.4	2955
694.3	2859
696.2	2801
698.0	2437
699.9	2513
701.8	2437
703.6	2283
705.5	2475
707.3	2168
709.1	2245
711.0	2245
712.8	2187
714.6	2187
716.4	2034
718.2	1861
720.0	2015
721.8	1784
723.6	1746
725.4	1746
727.1	1477
728.9	1592
730.7	1669
732.4	1573
734.2	1631
735.9	1400
737.6	1496
739.4	1477
741.1	1247
742.8	1439
744.5	1324
746.2	1266
747.9	1496
749.6	1247
751.3	1285
753.0	1324
754.6	1093
756.3	1362
758.0	1170
759.6	1113
761.3	1324
762.9	1400
764.5	1707
766.2	1938
767.8	1938
769.4	2053
771.0	1669
772.6	1362
774.2	1285
775.8	959
777.4	1055
779.0	940
780.5	825
782.1	1055
783.7	940
785.2	940
786.8	978
788.3	786
789.8	978
791.4	1017
792.9	863
794.4	997
795.9	882
797.4	863
798.9	1113
800.4	1017
801.9	1036
803.4	940
804.9	786
806.4	1113
807.8	1170
809.3	1170
810.7	1554
812.2	1669
813.6	2667
815.1	5488
816.5	10497
817.9	14316
819.4	15832
820.8	16312
822.2	15678
823.6	11456
825.0	5622
826.4	2782
827.8	1727
829.1	1420
830.5	1132
831.9	940
833.3	940
834.6	748
836.0	786
837.3	767
838.7	594
840.0	690
841.4	498
842.7	479
844.0	652
845.3	326
846.7	479
848.0	556
849.3	441
850.6	556
851.9	364
853.2	364
854.5	633
855.7	364
857.0	460
858.3	479
859.6	249
860.8	556
862.1	326
863.3	287
864.6	537
865.8	364
867.1	498
868.3	403
869.5	249
870.8	479
872.0	345
873.2	249
874.4	498
875.6	268
876.8	287
878.0	383
879.2	326
880.4	479
