# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:56:04 wavelength [nm] [Tab] light intensity Exposure time = 1 ms
wavelength	intensity
309.9	153
312.5	38
315.2	364
317.9	57
320.6	268
323.3	191
325.9	95
328.6	364
331.3	249
333.9	134
336.6	287
339.2	191
341.9	287
344.6	287
347.2	134
349.9	326
352.5	191
355.2	230
357.8	345
360.4	95
363.1	268
365.7	95
368.3	95
371.0	287
373.6	230
376.2	191
378.8	345
381.4	211
384.0	287
386.7	230
389.3	134
391.9	326
394.5	249
397.0	249
399.6	307
402.2	172
404.8	345
407.4	287
410.0	287
412.5	441
415.1	575
417.7	748
420.2	1247
422.8	1458
425.3	1880
427.9	2475
430.4	3224
433.0	4260
435.5	5162
438.0	6121
440.6	7004
443.1	7330
445.6	6927
448.1	5929
450.6	4893
453.1	4183
455.7	3396
458.1	2993
460.6	2744
463.1	2283
465.6	2187
468.1	1919
470.6	1631
473.0	1823
475.5	1727
478.0	1823
480.4	1957
482.9	2168
485.3	2322
487.8	2552
490.2	2897
492.6	3377
495.1	3569
497.5	3934
499.9	4490
502.3	4644
504.7	5239
507.1	5546
509.5	5680
511.9	6006
514.3	6332
516.7	6409
519.1	6851
521.4	7023
523.8	7465
526.2	7541
528.5	7561
530.9	8002
533.2	8251
535.6	8175
537.9	8731
540.2	9057
542.5	9499
544.9	9844
547.2	9768
549.5	10574
551.8	10478
554.1	11092
556.4	11226
558.7	11475
560.9	11802
563.2	12320
565.5	12454
567.7	13145
570.0	13702
572.2	14105
574.5	14719
576.7	15026
579.0	15314
581.2	15390
583.4	15390
585.6	15371
587.8	15007
590.0	14297
592.2	14105
594.4	13375
596.6	13375
598.8	13145
601.0	12704
603.1	12838
605.3	12876
607.4	12377
609.6	12608
611.7	11917
613.9	11687
616.0	11053
618.1	10574
620.3	10171
622.4	9537
624.5	9345
626.6	9038
628.7	8424
630.8	8232
632.8	7925
634.9	7426
637.0	7503
639.1	7196
641.1	6755
643.2	6620
645.2	5987
647.2	5718
649.3	5469
651.3	4931
653.3	4701
655.3	4548
657.3	4317
659.3	4125
661.3	3703
663.3	3550
665.3	3396
667.3	3051
669.3	3108
671.2	2821
673.2	2398
675.1	2609
677.1	2322
679.0	2187
680.9	2149
682.9	1861
684.8	2053
686.7	1746
688.6	1554
690.5	1554
692.4	1400
694.3	1420
696.2	1439
698.0	1093
699.9	1170
701.8	1113
703.6	959
705.5	1093
707.3	921
709.1	940
711.0	901
712.8	748
714.6	901
716.4	863
718.2	633
720.0	806
721.8	671
723.6	710
725.4	633
727.1	441
728.9	633
730.7	652
732.4	556
734.2	594
735.9	383
737.6	556
739.4	518
741.1	383
742.8	575
744.5	403
746.2	268
747.9	556
749.6	345
751.3	441
753.0	422
754.6	191
756.3	460
758.0	403
759.6	249
761.3	479
762.9	307
764.5	326
766.2	441
767.8	345
769.4	441
771.0	345
772.6	172
774.2	403
775.8	268
777.4	326
779.0	345
780.5	287
782.1	403
783.7	307
785.2	307
786.8	422
788.3	172
789.8	364
791.4	422
792.9	268
794.4	441
795.9	307
797.4	191
798.9	479
800.4	326
801.9	345
803.4	249
804.9	134
806.4	383
807.8	307
809.3	326
810.7	460
812.2	191
813.6	345
815.1	326
816.5	191
817.9	479
819.4	287
820.8	211
822.2	537
823.6	268
825.0	383
826.4	345
827.8	153
829.1	422
830.5	287
831.9	211
833.3	383
834.6	249
836.0	422
837.3	345
838.7	211
840.0	383
841.4	191
842.7	191
844.0	326
845.3	172
846.7	249
848.0	307
849.3	172
850.6	268
851.9	172
853.2	172
854.5	403
855.7	95
857.0	307
858.3	364
859.6	19
860.8	383
862.1	191
863.3	172
864.6	441
865.8	191
867.1	345
868.3	268
869.5	134
870.8	364
872.0	191
873.2	172
874.4	345
875.6	172
876.8	172
878.0	268
879.2	172
880.4	345
