# Lumini 3.1.0 v1.9.4-116-gdf13ecd spectrum	30.09.2025 20:16:51 wavelength [nm] [Tab] light intensity Exposure time = 10 ms
wavelength	intensity
309.9	211
312.5	134
315.2	345
317.9	134
320.6	307
323.3	326
325.9	172
328.6	383
331.3	287
333.9	172
336.6	364
339.2	268
341.9	364
344.6	326
347.2	134
349.9	326
352.5	230
355.2	249
357.8	403
360.4	115
363.1	287
365.7	211
368.3	172
371.0	345
373.6	191
376.2	249
378.8	422
381.4	249
384.0	345
386.7	287
389.3	211
391.9	403
394.5	345
397.0	403
399.6	403
402.2	364
404.8	479
407.4	479
410.0	403
412.5	460
415.1	556
417.7	403
420.2	633
422.8	518
425.3	614
427.9	633
430.4	652
433.0	901
435.5	863
438.0	825
440.6	940
443.1	901
445.6	1132
448.1	1189
450.6	940
453.1	1209
455.7	1017
458.1	1113
460.6	1823
463.1	2168
465.6	2283
468.1	2245
470.6	1842
473.0	1266
475.5	978
478.0	710
480.4	767
482.9	767
485.3	825
487.8	1093
490.2	1727
492.6	4931
495.1	5469
497.5	5277
499.9	5315
502.3	2763
504.7	1170
507.1	1093
509.5	1400
511.9	1650
514.3	1746
516.7	1458
519.1	1209
521.4	806
523.8	786
526.2	825
528.5	806
530.9	959
533.2	882
535.6	1055
537.9	1285
540.2	1362
542.5	1823
544.9	2322
547.2	3032
549.5	4030
551.8	5008
554.1	6448
556.4	8194
558.7	10343
560.9	16407
563.2	32969
565.5	39321
567.7	41586
570.0	41240
572.2	34408
574.5	25427
576.7	31184
579.0	41355
581.2	52371
583.4	53292
585.6	53906
587.8	59356
590.0	60162
592.2	62158
594.4	64192
596.6	62196
598.8	52678
601.0	43390
603.1	36711
605.3	30954
607.4	26655
609.6	25964
611.7	25350
613.9	23777
616.0	22433
618.1	20361
620.3	16216
622.4	13395
624.5	12454
626.6	11994
628.7	11226
630.8	10881
632.8	10305
634.9	9806
637.0	9499
639.1	8770
641.1	8386
643.2	8443
645.2	7868
647.2	7426
649.3	7350
651.3	6774
653.3	6697
655.3	6467
657.3	6236
659.3	6198
661.3	5872
663.3	5891
665.3	6045
667.3	5929
669.3	6160
671.2	5968
673.2	5622
675.1	5430
677.1	4720
679.0	4471
680.9	4241
682.9	3588
684.8	3396
686.7	3147
688.6	2744
690.5	2667
692.4	2571
694.3	2533
696.2	2456
698.0	2091
699.9	2283
701.8	2206
703.6	2034
705.5	2168
707.3	2034
709.1	2015
711.0	1976
712.8	1899
714.6	2053
716.4	1842
718.2	1669
720.0	1976
721.8	1784
723.6	1784
725.4	1765
727.1	1477
728.9	1669
730.7	1612
732.4	1612
734.2	1650
735.9	1400
737.6	1554
739.4	1554
741.1	1400
742.8	1477
744.5	1400
746.2	1343
747.9	1612
749.6	1381
751.3	1496
753.0	1496
754.6	1228
756.3	1400
758.0	1362
759.6	1324
761.3	1823
762.9	2034
764.5	2341
766.2	2629
767.8	2533
769.4	2552
771.0	2053
772.6	1592
774.2	1535
775.8	1151
777.4	1209
779.0	1209
780.5	1055
782.1	1247
783.7	1074
785.2	1093
786.8	1209
788.3	959
789.8	1247
791.4	1209
792.9	1036
794.4	1266
795.9	1247
797.4	1189
798.9	1496
800.4	1439
801.9	1496
803.4	1477
804.9	1477
806.4	1861
807.8	2091
809.3	2763
810.7	4433
812.2	8271
813.6	15333
815.1	22011
816.5	27269
817.9	29457
819.4	29879
820.8	28958
822.2	24813
823.6	16446
825.0	8597
826.4	4279
827.8	2859
829.1	2130
830.5	1669
831.9	1324
833.3	1247
834.6	959
836.0	1017
837.3	1036
838.7	767
840.0	901
841.4	690
842.7	594
844.0	710
845.3	498
846.7	498
848.0	729
849.3	441
850.6	652
851.9	345
853.2	403
854.5	652
855.7	441
857.0	594
858.3	575
859.6	287
860.8	614
862.1	537
863.3	345
864.6	575
865.8	345
867.1	556
868.3	479
869.5	326
870.8	537
872.0	403
873.2	326
874.4	498
875.6	326
876.8	403
878.0	422
879.2	326
880.4	479
